x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mzmed,rtmed,,,NM481,NM482,NM483,NM484,NM485,NM486,NMINF481,NMINF482,NMINF483,NMINF484,NMINF485,NMINF486,AM481,AM482,AM483,AM484,AM485,AM486,AMINF481,AMINF482,AMINF483,AMINF484,AMINF485,AMINF486
,252.1688962,298.6287933,,,363375.5026,302934.4172,427415.4638,329540.1157,381152.9367,340399.446,735922.4837,542804.7529,502234.2055,569829.5469,534589.6893,484948.594,244438.4349,298036.2101,325567.4222,272039.375,276904.8293,304207.7639,292561.3384,351571.1225,248414.4362,323237.5493,267443.9068,282547.3005
,348.0794992,126.7663085,,,226558.1989,381010.041,72726.95223,305692.7934,142153.5487,219359.6131,8646.556984,14420.83001,15199.70831,12257.44881,16000.97954,15232.5946,449902.7445,685459.462,560429.9677,566890.2501,465335.8373,513594.9998,955993.7128,357548.9594,631001.4236,631425.174,701232.2934,476950.7881
,1034.661396,270.1593939,,,767323.8285,886822.2911,657166.7178,808897.4042,674162.5409,753600.3087,308784.7973,499082.1269,182551.6113,168861.6076,187066.8604,471961.127,846892.4115,895684.15,897260.6281,981664.7603,938287.4405,889316.2187,848327.2885,696347.4074,765971.1506,766187.874,965352.1992,898277.8943
,582.1921461,271.3808227,,,25335.44396,2335.254588,16780.11009,33767.08424,16764.50451,40207.08029,19958.89749,6571.794842,16577.36674,22567.0089,10175.9571,12082.3021,43688.18987,40775.52346,50307.96978,46147.59546,55941.05184,42031.38001,3793.214344,26911.437,61785.85811,1662.481258,41816.65682,35906.08959
,744.4415058,303.7369215,,,7252.275873,2064.212952,3138.85982,7866.384193,4995.438822,5946.319776,1425.256261,2934.534701,4166.996036,2063.976663,1872.964207,2327.454108,8773.307601,6577.372804,8155.750089,8414.95847,9002.024586,6666.364997,3314.136065,5032.544682,13830.90929,2787.121399,4421.6993,6639.187708
,240.012459,265.6869925,,,22169.88374,15626.18357,38774.37165,4421.161511,5928.185408,18768.49925,37832.52895,62143.67531,36265.43692,49485.8655,28734.71586,41407.50611,1556.821807,25070.04364,14628.65589,11262.07965,7273.295726,16853.17353,29865.7534,38312.61346,4622.004305,31645.0157,9752.679013,9727.11664
,528.2561896,302.9018686,,,269497.8995,380478.848,211880.2096,323878.1566,236883.308,288443.643,72367.63042,120394.3296,141603.3202,85153.37767,101875.5557,124114.9134,355350.9582,286518.5495,382708.16,304175.0364,345427.868,303125.8329,258343.4039,223617.0744,454215.4435,241889.5664,340008.1152,329856.109
,454.8729121,368.0318826,,,29660.81424,25095.99757,26824.62665,14623.89583,25381.18743,19087.77358,55193.93246,44392.27117,33198.93974,40415.18508,30357.78062,33894.49982,17617.73289,16482.1441,23405.90215,12103.45526,13086.3406,17838.34371,21167.39601,25385.17753,12959.92289,18508.10254,13994.57693,8806.050801
,609.0097027,137.9146849,,,6127.009729,4495.654404,5273.382406,13835.9703,5450.490353,14503.21209,2007.915561,6549.337938,2705.634891,6321.203958,2077.060866,3572.934637,17366.85232,21610.1307,20290.2594,24425.18795,17252.8386,20543.23509,24815.34615,5044.275686,20823.59671,21029.81366,19431.40589,15370.61118
,251.1892366,259.5629883,,,80023.97123,54405.91917,55173.71977,60163.86952,82220.83926,64916.45081,178333.3649,132199.0035,117619.5726,155115.8163,139872.9551,115037.0476,43285.35961,52344.90679,52584.23614,37823.9695,39825.15684,43314.98647,55060.56186,71818.99345,42942.60355,51232.14814,39294.58973,41889.2427
